GameCode,DateFormat,Hour,TablesOcc,TablesOpen,TablesClosed,HeadCount,DayOfWeek,DayNumber
C4,8/1/2011,0,1,1,0,2,2,1
C4,8/1/2011,1,1,1,0,3,2,1
C4,8/1/2011,2,1,1,0,1,2,1
C4,8/1/2011,3,0,0,1,0,2,1
C4,8/1/2011,4,0,0,1,0,2,1
C4,8/1/2011,5,0,0,1,0,2,1
C4,8/1/2011,6,0,0,1,0,2,1
C4,8/1/2011,7,0,0,1,0,2,1
C4,8/1/2011,8,0,0,1,0,2,1
C4,8/1/2011,9,0,0,1,0,2,1
C4,8/1/2011,10,0,0,1,0,2,1
C4,8/1/2011,11,0,0,1,0,2,1
C4,8/1/2011,12,1,1,0,3,2,1
C4,8/1/2011,13,1,1,0,2,2,1
C4,8/1/2011,14,1,1,0,5,2,1
C4,8/1/2011,15,1,1,0,5,2,1
C4,8/1/2011,16,1,1,0,5,2,1
C4,8/1/2011,17,1,1,0,5,2,1
C4,8/1/2011,18,1,1,0,3,2,1
C4,8/1/2011,19,1,1,0,6,2,1
C4,8/1/2011,20,1,1,0,5,2,1
C4,8/1/2011,21,1,1,0,5,2,1
C4,8/1/2011,22,1,1,0,5,2,1
C4,8/1/2011,23,1,1,0,5,2,1
CR,8/1/2011,0,5,5,1,40,2,1
CR,8/1/2011,1,3,3,3,11,2,1
CR,8/1/2011,2,2,3,3,15,2,1
CR,8/1/2011,3,1,1,5,9,2,1
CR,8/1/2011,4,1,1,5,4,2,1
CR,8/1/2011,5,1,1,5,5,2,1
CR,8/1/2011,6,1,1,5,12,2,1
CR,8/1/2011,7,1,1,5,2,2,1
CR,8/1/2011,8,1,1,5,5,2,1
CR,8/1/2011,9,1,1,5,12,2,1
CR,8/1/2011,10,1,1,5,6,2,1
CR,8/1/2011,11,2,2,4,19,2,1
CR,8/1/2011,12,2,3,3,14,2,1
CR,8/1/2011,13,2,3,3,10,2,1
CR,8/1/2011,14,3,3,3,23,2,1
CR,8/1/2011,15,3,3,3,22,2,1
CR,8/1/2011,16,3,3,3,19,2,1
CR,8/1/2011,17,3,3,3,24,2,1
CR,8/1/2011,18,2,3,3,10,2,1
CR,8/1/2011,19,3,3,3,18,2,1
CR,8/1/2011,20,2,3,3,22,2,1
CR,8/1/2011,21,3,3,3,24,2,1
CR,8/1/2011,22,4,4,2,33,2,1
CR,8/1/2011,23,4,4,2,26,2,1
DH,8/1/2011,0,5,5,1,16,2,1
DH,8/1/2011,1,5,5,1,18,2,1
DH,8/1/2011,2,4,4,2,10,2,1
DH,8/1/2011,3,2,2,4,4,2,1
DH,8/1/2011,4,1,2,4,2,2,1
DH,8/1/2011,5,1,2,4,2,2,1
DH,8/1/2011,6,0,2,4,0,2,1
DH,8/1/2011,7,0,2,4,0,2,1
DH,8/1/2011,8,1,2,4,5,2,1
DH,8/1/2011,9,1,2,4,2,2,1
DH,8/1/2011,10,1,2,4,5,2,1
DH,8/1/2011,11,1,3,3,3,2,1
DH,8/1/2011,12,3,3,3,8,2,1
DH,8/1/2011,13,3,4,2,5,2,1
DH,8/1/2011,14,3,4,2,9,2,1
DH,8/1/2011,15,2,4,2,5,2,1
DH,8/1/2011,16,3,4,2,8,2,1
DH,8/1/2011,17,4,4,2,15,2,1
DH,8/1/2011,18,4,4,2,13,2,1
DH,8/1/2011,19,2,4,2,4,2,1
DH,8/1/2011,20,3,5,1,11,2,1
DH,8/1/2011,21,5,5,1,17,2,1
DH,8/1/2011,22,5,5,1,16,2,1
DH,8/1/2011,23,4,5,1,12,2,1
C4,8/2/2011,0,1,1,0,5,3,2
C4,8/2/2011,1,1,1,0,5,3,2
C4,8/2/2011,2,1,1,0,3,3,2
C4,8/2/2011,3,0,0,1,0,3,2
C4,8/2/2011,4,0,0,1,0,3,2
C4,8/2/2011,5,0,0,1,0,3,2
C4,8/2/2011,6,0,0,1,0,3,2
C4,8/2/2011,7,0,0,1,0,3,2
C4,8/2/2011,8,0,0,1,0,3,2
C4,8/2/2011,9,0,0,1,0,3,2
C4,8/2/2011,10,0,0,1,0,3,2
C4,8/2/2011,11,0,0,1,0,3,2
C4,8/2/2011,12,1,1,0,3,3,2
C4,8/2/2011,13,1,1,0,3,3,2
C4,8/2/2011,14,1,1,0,4,3,2
C4,8/2/2011,15,1,1,0,1,3,2
C4,8/2/2011,16,0,1,0,0,3,2
C4,8/2/2011,17,1,1,0,3,3,2
C4,8/2/2011,18,1,1,0,1,3,2
C4,8/2/2011,19,1,1,0,2,3,2
C4,8/2/2011,20,1,1,0,6,3,2
C4,8/2/2011,21,1,1,0,6,3,2
C4,8/2/2011,22,1,1,0,6,3,2
